"Gardiner Lessons 2 to 33","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","R8( 0, 0) - O6( 465, 0) - X1( 1095, 15) - O1( 1005, 390) ","R8 - O6 - X1 - O1 ","Hwt-nTr","temple","G10v"
"L","E","D21( 0, 0) - Z1( 330, 390) - O1( 960, 0) - Z1( 1170, 390) ","D21 - Z1 - O1 - Z1 ","r  pr","temple, chapel, shrine","G10v"
"L","E","N35( 0, 15) - F20( 15, 165) - O34( 60, 735) - X1( 990, 0) - W11( 975, 315) ","N35 - F20 - O34 - X1 - W11 ","nst","seat","G10v"
"L","E","W11( 150, 0) - X1( 0, 480) - Z1( 450, 405) ","W11 - X1 - Z1 ","nst","seat","G10v"
"L","E","W11( 300, 0) - X1( 0, 525) - O1( 495, 405) ","W11 - X1 - O1 ","nst","seat","G10v"
"L","E","N41( 0, 150) - G17( 390, 0) - G43( 1245, 0) - P10( 1890, 45) ","N41 - G17 - G43 - P10 ","Hmw","rudder","G10v"
"L","E","M17( 0, 15) - G1( 285, 15) - G43( 930, 15) - X1( 1560, 0) - A19( 1965, 0) ","M17 - G1 - G43 - X1 - A19 ","iAw","old age","G10v"
"L","E","M17( 0, 0) - G1( 270, 0) - G43( 915, 0) - A19( 1560, 0) ","M17 - G1 - G43 - A19 ","iAw","old","G10v"
"L","E","O44( 0, 0) - X1( 405, 30) - Z1( 510, 330) ","O44 - X1 - Z1 ","iAt","office, function","G10v"
"L","E","M17( 0, 0) - G1( 270, 0) - X1( 915, 30) - O44( 1320, 30) "," M17 - G1 - X1 - O44 ","iAt","office, rank","G10v"
"L","E","N11( 0, 0) - N14( 195, 345) - D46( 945, 15) - N5( 1170, 330) ","N11 - N14 - D46 - N5 ","Abd","month","G10v"
"L","E","O4( 195, 0) - W24( 765, 195) - N35( 0, 570) - G43( 1155, 15) - A8( 1785, 15) ","O4 - W24 - N35 - G43 - A8 ","hnw","jubilation, praise","G10v"
"L","E","O6( 0, 0) - X1( 660, 0) - O1( 540, 315) ","O6 - X1 - O1 ","Hwt","house, large edifice","G10v"
"L","E","F4( 30, 0) - X1( 0, 675) - Z4( 510, 570) - F34( 975, 150) ","F4 - X1 - Z4 - F34 ","HAty","heart, breast","G10v"
"L","E","O35( 0, 210) - D58( 705, 0) - D54( 1110, 210) ","O35 - D58 - D54 ","sbi","send, pass (time)","G10v"
"L","E","T18( 0, 0) - S29( 330, 0) - D54( 675, 285) ","T18 - S29 - D54 ","Sms","follow, accompany, serve","G10v"
"L","E","D21( 0, 225) - G17( 915, 0) - K1( 1845, 195) ","D21 - G17 - K1 ","rm","fish","G10v"
"L","E","G1( 0, 0) - V28( 825, 15) - X1( 1125, 15) - N23( 1125, 480) ","G1 - V28 - X1 - N23 ","AHt","field, arable land, earth, mound","G10v"
"L","E","W4( 0, 0) ","W4 ","Hb","festival, holiday","G10v"
"L","E","V28( 0, 30) - D58( 240, 0) - W3( 735, 360) ","V28 - D58 - W3 ","Hb","festival, holiday","G10v"
"L","E","G1( 0, 15) - Q3( 1140, 0) - D46( 810, 465) - G38( 1695, 75) ","G1 - Q3 - D46 - G38 ","Apd","bird","G10v"
"L","E","S29( 0, 0) - D28( 285, 120) - G1( 1110, 30) - U13( 1920, 135) - A24( 2850, 30) ","S29 - D28 - G1 - U13 - A24 ","skA","cultivate, plough","G10v"
"L","E","I6( 0, 165) - G17( 795, 0) - Y1V( 1755, 0) ","I6 - G17 - Y1V ","km","complete, completion","G10v"
"L","E","N29( 0, 225) - G1( 405, 0) - A28( 1230, 0) ","N29 - G1 - A28 ","qAi","tall, high","G10v (adjective and verb)"
"L","E","N29( 0, 165) - G1( 420, 0) - G43( 1260, 0) - A28( 1920, 15) - Y1V( 2595, 30) ","N29 - G1 - G43 - A28 - Y1V ","qAw","height","G10v (adjective and verb)"
"L","E","D58( 0, 0) - V13( 420, 30) - D54( 540, 255) ","D58 - V13 - D54 ","bT","abandon, forsake","G10v (verb  transitive)"
"L","E","Q3( 135, 0) - F32( 0, 390) - D21( 840, 0) - F46( 810, 330) - D54( 1740, 105) ","Q3 - F32 - D21 - F46 - D54 ","pXr","go round","G11v"
"L","E","M17( 0, 0) - X1( 480, 30) - N35( 255, 570) - N5( 1185, 105) ","M17 - X1 - N35 - N5 ","itn","sun's disk, sun","G11v"
"L","E","A12( 0, 315) - A1( 750, 0) - Z2( 690, 750) ","A12 - A1 - Z2 ","mSa","army, expedition","G11v"
"L","E","D36( 0, 0) - D36( 0, 465) - G43( 945, 15) - Z4( 1545, 15) - D5( 2070, 345) ","D36 - D36 - G43 - Z4 - D5 ","aawy","sleep","G11v"
"L","E","N41( 225, 105) - O34( 0, 570) - A7( 900, 0) ","N41 - O34 - A7 ","Hmsi","sit down, sit, dwell","G11v"
"L","E","V13( 0, 45) - O34( 45, 480) - U39( 915, 0) - A24( 1320, 0) ","V13 - O34 - U39 - A24 ","Ts","raise up","G11v"
"L","E","O29( 0, 15) - D36( 0, 390) - G1( 930, 0) - N31( 1740, 180) ","O29 - D36 - G1 - N31 ","aA","here","G11v"
"L","E","D4( 0, 0) - X1( 60, 345) - Z1( 540, 255) ","D4 - X1 - Z1 ","irt","eye","G11v"
"L","E","G43( 0, 0) - S29( 645, 15) - J1( 930, 15) - W10( 930, 495) - Y1V( 1455, 15) ","G43 - S29 - J1 - W10 - Y1V ","wsx","be broad, wide, adj. broad, wide, n. breadth","G11v"
"L","E","F4( 0, 0) - X1( 0, 585) - X1( 510, 585) - V1( 1035, 120) ","F4 - X1 - X1 - V1 ","HAtt","rope in front of a ship","G11v"
"L","E","F35( 0, 0) - F35( 345, 15) - F35( 675, 0) ","F35 - F35 - F35 ","nfrw","beauty","G11v"
"L","E","F42( 0, 0) - D21( 0, 375) - D54( 945, 60) ","F42 - D21 - D54 ","spr","draw night, approach, petition","G11v"
"L","E","X1( 285, 30) - U15( 0, 345) - G17( 915, 0) - A40( 1815, 0) ","X1 - U15 - G17 - A40 ","itm","Atum, the solar god of Heliopolis","G11v"
"L","E","F22( 0, 165) - G43( 795, 30) - Z4( 1440, 30) - M17( 1950, 30) - M17( 2220, 15) - X1( 2490, 0) - V1( 2535, 240) ","F22 - G43 - Z4 - M17 - M17 - X1 - V1 ","pHwyt","rope at back of a ship","G11v"
"L","E","P5( 0, 0) - G43( 810, 15) - A24( 1455, 15) ","P5 - G43 - A24 ","nfw","réis, skipper","G11v"
"L","E","S29( 0, 150) - U23( 285, 150) - G17( 555, 0) - D21( 555, 765) - A1( 1485, 105) ","S29 - U23 - G17 - D21 - A1 ","smr","courtier, friend","G11v"
"L","E","S34( 0, 0) - F21( 375, 135) ","S34 - F21 ","anx","ear","G11v"
"L","E","S24( 0, 0) - O34( 15, 585) - G43( 960, 0) - A24( 1605, 0) "," S24 - O34 - G43 - A24 ","Tsw","commander (of a fortress or army)","G11v"
"L","E","U7( 0, 0) - D21( 0, 540) - M17( 945, 15) - M17( 1230, 15) - X1( 1515, 30) - N23( 1500, 510) ","U7 - D21 - M17 - M17 - X1 - N23 ","mryt","river-bank","G11v"
"L","E","U5( 15, 0) - D36( 0, 510) - X1( 960, 345) - H6( 1500, 60) - Y1V( 1770, 60) ","U5 - D36 - X1 - H6 - Y1V ","mAat","truth, right, justice","G11v"
"L","E","S29( 0, 0) - F46( 270, 15) - D21( 270, 510) - D54( 1170, 120) ","S29 - F46 - D21 - D54 ","spXr","cause to circulate","G11v (causative)"
"L","E","Q3( 90, 0) - X1( 420, 60) - D21( 0, 480) - M6( 915, 0) - A2( 1530, 0) ","Q3 - X1 - D21 - M6 - A2 ","ptr","who ?","G11v (interrogative)"
"L","E","O28( 0, 0) - W24( 300, 0) - O49( 300, 345) ","O28 - W24 - O49 ","iwnw","Heliopolis, On of the Bible, a town near Cairo","G11v (locality)"
"L","E","I10( 225, 270) - X1( 195, 720) - N17( 0, 1020) - A1( 1035, 0) - B1( 1665, 0) - Z2( 1275, 765) ","I10 - X1 - N17 - A1 - B1 - Z2 ","Dwt","serf (fem.)","G11v (plural)"
"L","E","N35( 0, 0) - N42( 240, 330) - G17( 930, 0) - A24( 1875, 15) ","N35 - N42 - G17 - A24 ","nHm","take away, rescue","G12v"
"L","E","F12( 0, 0) - S29( 405, 0) - D21( 720, 0) - D40( 720, 330) ","F12 - S29 - D21 - D40 ","wsr","be powerful, wealthy","G12v"
"L","E","T28( 90, 0) - D21( 0, 585) - X1( 930, 270) - Y1( 1410, 45) - Z2( 1470, 525) ","T28 - D21 - X1 - Y1 - Z2 ","Xrt","share, portion","G12v"
"L","E","U1( 0, 0) - G1( 930, 0) - M17( 1755, 15) - D21( 2040, 15) - T12( 2145, 255) - G37( 2985, 15) - Z2( 2985, 555) ","U1 - G1 - M17 - D21 - T12 - G37 - Z2 ","mAi(r)w","misery","G12v"
"L","E","M4( 0, 0) - M4( 420, 15) - I9( 825, 15) - N5( 975, 285) ","M4 - M4 - I9 - N5 ","snf","last year","G12v"
"L","E","G17( 0, 15) - D36( 945, 0) ","G17 - D36 ","m-a","in the hand of, from, owing to, together with","G12v"
"L","E","D46( 0, 15) - N35( 0, 600) - S29( 945, 0) - U32( 1200, 0) - O39( 1575, 240) ","D46 - N35 - S29 - U32 - O39 ","dns","be heavy, irksome","G12v"
"L","E","F4( 0, 0) - X1( 0, 615) - Z1( 630, 540) ","F4 - X1 - Z1 ","HAt","front, m HAt, r HAt formerly, before","G12v"
"L","E","S29( 0, 0) - D36( 285, 195) - V28( 1245, 15) - E31( 1545, 45) ","S29 - D36 - V28 - E31 ","saH","dignitary, rank, dignity","G12v"
"L","E","D54( 0, 105) - G43( 645, 0) ","D54 - G43 ","iw","come","G12v"
"L","E","D52( 0, 0) - X1( 195, 525) - D50( 945, 0) - D50( 1230, 0) - Y1V( 1515, 15) ","D52 - X1 - D50 - D50 - Y1V ","mty","be exact, precise","G12v"
"L","E","N29( 0, 210) - S29( 405, 0) - N35( 675, 300) - T19( 1635, 15) - G37( 1920, 120) ","N29 - S29 - N35 - T19 - G37 ","ksn","be difficult, disagreeable","G12v"
"L","E","G25( 0, 0) - J1( 870, 0) - Y1( 660, 450) ","G25 - J1 - Y1 ","Ax","be beneficial, advantageous","G12v"
"L","E","E9( 0, 150) - G43( 870, 0) - M23( 1515, 15) - G43( 2055, 30) - M3( 2715, 285) ","E9 - G43 - M23 - G43 - M3 ","iwsw","balance","G12v"
"L","E","D36( 0, 0) - N29( 270, 405) - G1( 930, 15) - D50( 1740, 30) - D50( 2025, 15) - Y1V( 2325, 30) ","D36 - N29 - G1 - D50 - D50 - Y1V ","aqA","be precise, accurate","G12v"
"L","E","S43( 0, 105) - D46( 345, 0) - G43( 450, 300) - A2( 1245, 105) ","S43 - D46 - G43 - A2 ","mdw","speak, talk","G12v"
"L","E","S43( 0, 0) - D46( 285, 0) - X1( 495, 495) - A2( 1215, 0) ","S43 - D46 - X1 - A2 ","mdw","speech, word","G12v"
"L","E","E9( 0, 90) - G43( 825, 0) - M17( 1455, 0) - M17( 1740, 0) - X1( 2070, 0) - G37( 1995, 210) ","E9 - G43 - M17 - M17 - X1 - G37 ","iwyt","wrongdoing","G12v"
"L","E","D21( 0, 45) - J1( 225, 360) - M17( 930, 60) - M17( 1215, 75) - X1( 1485, 330) - G24( 1995, 0) - Z2( 2070, 630) ","D21 - J1 - M17 - M17 - X1 - G24 - Z2 ","rxyt","common people","G12v"
"L","E","G26( 0, 0) - X1( 660, 15) - Z4( 645, 330) - A40( 1080, 15) ","G26 - X1 - Z4 - A40 ","DHwty","Thoth, the ibis-headed god of writing and mathematics","G12v (divinity)"
"L","E","U5( 15, 0) - D36( 0, 480) - X1( 975, 90) - Z4( 975, 405) - Y1V( 1485, 15) "," U5 - D36 - X1 - Z4 - Y1V ","mAaty","rightous","G12v (dual)"
"L","E","D35( 0, 0) - X1( 0, 390) - Z4( 495, 300) - G37( 1005, 30) ","D35 - X1 - Z4 - G37 ","iwty","who.......not, which.......not","G13v"
"L","E","N35( 30, 0) - X1( 0, 330) - Z4( 510, 240) ","N35 - X1 - Z4 ","nty","who, which","G13v"
"L","E","M17( 0, 0) - N35( 270, 0) - D21( 270, 510) - O39( 1110, 240) ","M17 - N35 - D21 - O39 ","inr","stone","G13v"
"L","E","D28( 0, 0) - Z1( 240, 630) ","D28 - Z1 ","kA","spirit, soul, double","G13v"
"L","E","D21( 0, 15) - D46( 0, 450) - M32( 930, 0) - Y1V( 1350, 0) ","D21 - D46 - M32 - Y1V ","rd","grow","G13v"
"L","E","D36( 120, 0) - X1( 0, 510) - O1( 510, 390) ","D36 - X1 - O1 ","at","house, department, iry-at official, one belonging to a department","G13v"
"L","E","G40( 0, 15) - X1( 945, 0) - X6( 930, 240) ","G40 - X1 - X6 ","pAwt","antiquity, old time","G13v"
"L","E","M3( 15, 0) - J1( 0, 300) - X1( 495, 450) - G4( 1020, 30) - O40( 1920, 120) ","M3 - J1 - X1 - G4 - O40 ","xtyw","staircase, terrace, hillside","G13v"
"L","E","D36( 0, 0) - D21( 0, 390) - N31( 930, 120) ","D36 - D21 - N31 ","ar","ascend, approach","G13v"
"L","E","D36( 15, 0) - X1( 0, 465) - F51( 525, 360) ","D36 - X1 - F51 ","at","limb, member (of body)","G13v"
"L","E","D21( 0, 0) - G43( 105, 255) - D46( 915, 15) - X1( 1155, 660) - T12( 1845, 0) - O39( 1830, 690) ","D21 - G43 - D46 - X1 - T12 - O39 ","rwdt","hard stone, sandstone","G13v"
"L","E","O29( 0, 0) - O31( 0, 345) ","O29 - O31 ","aA","door","G13v"
"L","E","D36( 0, 0) - N37( 0, 405) - M41( 915, 195) ","D36 - N37 - M41 ","aS","cedar (properly 'pine')","G13v"
"L","E","J1( 210, 0) - D21( 0, 420) - Q3( 330, 675) - S42( 930, 150) - A24( 1350, 165) ","J1 - D21 - Q3 - S42 - A24 ","xrp","undertake, make offering of","G13v"
"L","E","D1( 120, 0) - Q3( 0, 555) - Z4( 330, 525) ","D1 - Q3 - Z4 ","tpy","(who is) upon, chief, first","G13v"
"L","E","T8( 0, 0) ","T8 ","tpy","(who is) upon, first, chief","G13v"
"L","E","U1( 0, 0) - G1( 915, 0) - Y1V( 1725, 0) ","U1 - G1 - Y1V ","mA(w)","be new, fresh","G13v"
"L","E","M26( 0, 0) ","M26 ","SmAw","Upper Egypt","G13v"
"L","E","D4( 135, 0) - Q1( 0, 225) - A40( 525, 240) ","D4 - Q1 - A40 ","wsir","Osiris, the god of the dead","G13v"
"L","E","G17( 0, 90) - U1( 945, 105) - G43( 1890, 0) - X1( 1950, 765) - Y1V( 2550, 120) ","G17 - U1 - G43 - X1 - Y1V ","m mAwt","anew, lit. in newness","G13v"
"L","E","T28( 0, 0) - X1( 120, 540) - O4( 870, 15) - D21( 660, 540) - G43( 1590, 15) - N5( 2205, 105) ","T28 - X1 - O4 - D21 - G43 - N5 ","hrw","daytime","G13v"
"L","E","M26( 0, 0) - D36( 630, 15) - N24( 585, 360) ","M26 - D36 - N24 ","SmAw","Upper Egypt","G13v"
"L","E","N16( 15, 0) - V22( 0, 300) - V28( 975, 0) - G43( 1275, 0) - M15( 1920, 15) ","N16 - V22 - V28 - G43 - M15 ","tA  mHw","Lower Egypt","G13v (locality)"
"L","E","W25( 0, 150) - N35( 495, 0) - W24( 510, 555) - G43( 900, 150) - Y1( 1560, 165) - Z2( 1695, 570) ","W25 - N35 - W24 - G43 - Y1 - Z2 ","inw","tribute, gifts","G14v"
"L","E","V6( 0, 0) - Z1( 105, 615) ","V6 - Z1 ","sSr","thing, concern","G14v"
"L","E","S29( 0, 0) - X1( 285, 15) - Q3( 375, 450) - G43( 780, 30) - U21( 1395, 30) - Y1( 1410, 555) ","S29 - X1 - Q3 - G43 - U21 - Y1 ","stpw","the choicest, best","G14v"
"L","E","G43( 405, 0) - X1( 0, 495) - X1( 870, 0) - A53( 1380, 15) ","G43 - X1 - X1 - A53 ","twt","statue, image","G14v"
"L","E","V29( 0, 0) - V28( 525, 15) - Y1V( 810, 15) ","V29 - V28 - Y1V ","wAH","(1) trans. place, put down (2) intrans. endure, adj. enduring, durable","G14v"
"L","E","T21( 15, 0) - D36( 0, 735) - D36( 930, 0) - G43( 1065, 345) ","T21 - D36 - D36 - G43 ","waaw","privacy","G14v"
"L","E","O11( 0, 0) - D36( 360, 15) - O1( 435, 330) ","O11 - D36 - O1 ","aH","palace","G14v"
"L","E","F40( 0, 0) - X1( 225, 660) - F34( 870, 195) ","F40 - X1 - F34 ","Awt-ib","joy, lit. expansion of heart","G14v"
"L","E","D34( 0, 105) - G1( 930, 0) - A24( 1635, 0) ","D34 - G1 - A24 ","aHA","fight","G14v"
"L","E","I10( 330, 0) - X1( 255, 405) - N17( 0, 705) ","I10 - X1 - N17 ","Dt","estate, domain","G14v"
"L","E","R11( 0, 0) ","R11 ","Dd","durability, stability","G14v"
"L","E","S29( 0, 0) - J1( 270, 345) - G17( 795, 15) - J1( 1725, 15) - F34( 2220, 15) - Z1( 2355, 450) ","S29 - J1 - G17 - J1 - F34 - Z1 ","sxmx  ib","amusement, lit. distract the heart","G14v"
"L","E","J1( 255, 0) - D21( 0, 420) - X1( 225, 690) - F34( 885, 0) - Z1( 1020, 570) ","J1 - D21 - X1 - F34 - Z1 ","xrt-ib","desire, wish, lit. what belongs to the heart","G14v"
"L","E","Q1( 0, 15) - X1( 660, 15) - O1( 540, 390) - D2( 1410, 0) - Z1( 1545, 495) ","Q1 - X1 - O1 - D2 - Z1 ","st-Hr","charge, care, lit. place of the face","G14v"
"L","E","M42( 240, 0) - N35( 0, 570) ","M42 - N35 ","wn","being, in the phrase 'n wn mAa' in true being, truly","G14v"
"L","E","R11( 0, 0) - D46( 405, 15) - Y1( 405, 405) ","R11 - D46 - Y1 ","Dd","be stable","G14v"
"L","E","D21( 0, 0) - G43( 150, 270) - D46( 945, 15) - T12( 1080, 405) - Y1V( 1905, 120) ","D21 - G43 - D46 - T12 - Y1V ","rwD","be hard, flourish, adj. flourishing","G14v"
"L","E","R11( 0, 0) - D46( 390, 0) - Y1( 405, 495) ","R11 - D46 - Y1 ","Dd","be stable","G14v"
"L","E","D50( 0, 0) - X1( 285, 15) - S20( 390, 345) ","D50 - X1 - S20 ","Dbat","signet-ring","G14v"
"L","E","S19( 0, 0) - X1( 210, 660) "," S19 - X1 ","sDAwt","precious things, treasures","G14v"
"L","E","S29( 0, 0) - O29( 270, 0) - D36( 270, 405) - Y1V( 1230, 0) ","S29 - O29 - D36 - Y1V ","saA","make great, magnify","G14v"
"L","E","P6( 0, 15) - G43( 375, 0) - N5( 1005, 150) ","P6 - G43 - N5 ","aHaw","period, space (of time)","G14v"
"L","E","S29( 0, 0) - X1( 300, 15) - Q3( 390, 465) - U21( 795, 240) ","S29 - X1 - Q3 - U21 ","stp","choose","G14v"
"L","E","S29( 0, 15) - W17( 360, 0) - N35( 1005, 45) - X1( 1275, 375) ","S29 - W17 - N35 - X1 ","sxnti","promote, make prominent","G14v (causative)"
"L","E","G5( 0, 0) ","G5 ","Hr","the god Horus","G14v (divinity)"
"L","E","S40( 0, 0) ","S40 ","wAs","dominion, lordship (an old word, occurring only in formulae)","G14v (noun and verb)"
"L","E","N35( 0, 0) - U19( 0, 240) - W24( 945, 240) - G43( 1350, 15) - N35A( 1980, 30) ","N35 - U19 - W24 - G43 - N35A ","nw","water (a rather select word)","G15v"
"L","E","S29( 0, 0) - G43( 300, 0) - X1( 945, 15) - G43( 1425, 30) - X1( 2055, 30) - D56( 2565, 30) - D54( 3180, 135) ","S29 - G43 - X1 - G43 - X1 - D56 - D54 ","swtwt","walk about","G15v"
"L","E","D46( 0, 210) - W19( 810, 30) - M17( 1155, 0) - N23( 1440, 45) - Z1( 1545, 345) ","D46 - W19 - M17 - N23 - Z1 ","dmi","town, habitation","G15v"
"L","E","X1( 210, 0) - D21( 0, 510) - M6( 915, 15) - N5( 1560, 135) ","X1 - D21 - M6 - N5 ","tr","time, season, period","G15v"
"L","E","N35( 45, 0) - O4( 0, 285) - X1( 525, 510) - M1( 1065, 0) ","N35 - O4 - X1 - M1 ","nht","sycamore, tree (in general)","G15v"
"L","E","M17( 0, 165) - K1( 285, 180) - N35( 270, 750) - V28( 1215, 180) - V1( 1770, 0) - D40( 1485, 510) ","M17 - K1 - N35 - V28 - V1 - D40 ","inH","surround, enclose","G15v"
"L","E","I10( 180, 0) - D46( 0, 630) - V28( 885, 210) - V1( 1470, 0) - D40( 1215, 450) ","I10 - D46 - V28 - V1 - D40 ","DdH","shut up, confine","G15v"
"L","E","S43( 0, 135) - I10( 270, 0) ","S43 - I10 ","Dd  mdw","to be recited, lit. to say words, as heading","G15v"
"L","E","D19( 0, 0) - X1( 600, 210) - O1( 240, 495) ","D19 - X1 - O1 ","xnt (xnrt)","prison","G15v"
"L","E","V28( 0, 30) - S29( 285, 15) - D58( 570, 30) - J2( 1335, 0) - Y1( 1080, 540) ","V28 - S29 - D58 - J2 - Y1 ","Hsb","count, reckon","G15v"
"L","E","D36( 0, 180) - D58( 945, 0) - D36( 1455, 15) - F16( 1455, 345) - A1( 2370, 0) ","D36 - D58 - D36 - F16 - A1 ","aba","boasting, exaggeration","G15v"
"L","E","M17( 0, 30) - Q3( 420, 0) - X1( 285, 540) - Q1( 795, 15) - Q1( 1335, 15) - Q1( 1875, 15) - X1( 2385, 15) - O49( 2400, 360) ","M17 - Q3 - X1 - Q1 - Q1 - Q1 - X1 - O49 ","ipt  swt","name of the temple of Karnak at Thebes","G15v"
"L","E","M8( 0, 225) - D21( 915, 60) - Z1( 1230, 525) - M16( 1860, 75) - N35( 2355, 0) - G1( 2385, 150) - N25( 3225, 210) ","M8 - D21 - Z1 - M16 - N35 - G1 - N25 ","SrHn","Sharuhen, a place in Palestine","G15v"
"L","E"," U7( 0, 15) - D21( 0, 495) - V28( 945, 0) - X1( 1245, 0) - W22( 1230, 240) ","U7 - D21 - V28 - X1 - W22 ","mrHt","oil","G15v"
"L","E","J1( 195, 0) - N35( 0, 495) - X1( 1185, 30) - N37( 945, 390) - D19( 1875, 120) "," J1 - N35 - X1 - N37 - D19 ","xntS","take pleasure, have enjoyment","G15v"
"L","E","U5( 15, 0) - D36( 0, 480) - N21( 990, 15) - Z1( 1125, 405) ","U5 - D36 - N21 - Z1 ","mAa","edge, brink","G15v"
"L","E","V31( 0, 0) - I9( 45, 390) - U33( 900, 15) - G43( 1335, 0) - N25( 2010, 165) ","V31 - I9 - U33 - G43 - N25 ","kftiw","Meditarrean land, probably Crete, and its people","G15v"
"L","E","S29( 0, 0) - N29( 285, 195) - D58( 690, 30) - D58( 1215, 30) - W15( 1755, 30) - N35A( 2280, 30) ","S29 - N29 - D58 - D58 - W15 - N35A ","sqbb","refresh oneself","G15v (causative)"
"L","E","W9( 0, 255) - G17( 405, 135) - X1( 1515, 0) - N35A( 1305, 225) ","W9 - G17 - X1 - N35A ","Xnmt","well, cistern","G15v (noun)"
"L","E","W11( 0, 240) - G1( 510, 75) - J2( 1470, 0) - G37( 1320, 390) ","W11 - G1 - J2 - G37 ","gAw","be narrow, deprived of (m)","G15v (verb  intransitive)"
"L","E","W11( 0, 225) - G1( 525, 15) - V32( 1320, 0) - G37( 1455, 300) ","W11 - G1 - V32 - G37 ","gAw","be narrow, deprived of (m)","G15v (verb  intransitive)"
"L","E","G43( 0, 30) - D52( 645, 15) - X1( 885, 495) - Y1V( 1575, 0) ","G43 - D52 - X1 - Y1V ","wmt","be thick, adj. thick, stout","G16v"
"L","E","V15( 0, 165) - A24( 945, 0) ","V15 - A24 ","iT","take away, seize","G16v"
"L","E","D46( 30, 0) - D21( 0, 525) - A24( 960, 15) ","D46 - D21 - A24 ","dr","drive out, crush","G16v"
"L","E","N41( 180, 135) - O34( 0, 630) - G43( 780, 30) - A17( 1425, 135) - G37( 1935, 0) - Z2( 1905, 525) ","N41 - O34 - G43 - A17 - G37 - Z2 ","Hmsw","sloth, lit. sitting","G16v"
"L","E","F46( 0, 0) - D21( 15, 480) - X1( 960, 0) - N33( 1065, 510) - Z3( 1455, 15) ","F46 - D21 - X1 - N33 - Z3 ","pXrt","remedy, medicament","G16v"
"L","E","N37( 45, 0) - I9( 120, 285) - D46( 0, 555) - G43( 930, 120) - V12( 1590, 255) ","N37 - I9 - D46 - G43 - V12 ","Sfdw","papyrus roll, book","G16v"
"L","E","D2( 0, 0) - Z1( 120, 525) - D36( 510, 120) - Z1( 870, 525) ","D2 - Z1 - D36 - Z1 ","Hr a","immediately, lit. on the hand","G16v"
"L","E","U1( 525, 0) - N37( 0, 120) - G1( 1485, 15) - A33( 2310, 0) ","U1 - N37 - G1 - A33 ","SmAw","nomad, foreigner","G16v"
"L","E","S29( 0, 45) - G36( 270, 0) - D21( 225, 570) - M17( 1125, 75) - N35A( 1335, 75) - A2( 2190, 90) ","S29 - G36 - D21 - M17 - N35A - A2 ","swr","drink","G16v"
"L","E","G17( 0, 0) - X1( 195, 780) - A14( 960, 210) ","G17 - X1 - A14 ","mt","die, death","G16v"
"L","E","M18( 0, 0) - M17( 405, 0) - D54( 675, 120) ","M18 - M17 - D54 ","ii","come","G16v"
"L","E","S29( 0, 30) - N29( 570, 45) - D21( 315, 450) - J7( 1110, 180) - S34( 1920, 0) - A13( 2310, 15) ","S29 - N29 - D21 - J7 - S34 - A13 ","sqr  anx","prisoner, lit. one smitten living","G16v"
"L","E","D36( 15, 0) - F26( 0, 360) - N35( 1005, 135) - W24( 975, 645) - X1( 1410, 705) - U33( 1980, 180) - O1( 2295, 435) ","D36 - F26 - N35 - W24 - X1 - U33 - O1 ","a Xnwty","audience-chamber","G16v"
"L","E","A51( 0, 0) - S29( 660, 0) - Y1V( 930, 0) ","A51 - S29 - Y1V ","Sps","be noble, adj. noble","G16v"
"L","E","S29( 0, 75) - N35( 255, 0) - D58( 390, 165) - Y1V( 1140, 135) ","S29 - N35 - D58 - Y1V ","snb","be healthy, n. health","G16v"
"L","E","E34( 0, 60) - N35( 0, 495) - O31( 885, 270) - A24( 1740, 0) ","E34 - N35 - O31 - A24 ","wn","open","G16v"
"L","E","D21( 0, 0) - O4( 165, 330) - N35( 960, 75) - D41( 930, 375) ","D21 - O4 - N35 - D41 ","rhn","lean, Hr upon","G16v"
"L","E","Y5( 0, 0) - N35( 0, 555) - W24( 1080, 0) - O1( 930, 345) ","Y5 - N35 - W24 - O1 ","mnnw","fortress","G16v"
"L","E","U23( 0, 165) - G17( 240, 0) - D21( 165, 765) - G37( 1125, 285) ","U23 - G17 - D21 - G37 ","mr","be ill, adj. ill, painful","G16v (adjective)"
"L","E","G38( 0, 60) - D58( 945, 0) - A40( 1485, 15) ","G38 - D58 - A40 ","gb","Geb, the Earth god","G16v (divinity)"
"L","E","Y5( 0, 15) - N35( 30, 480) - Y1V( 915, 0) ","Y5 - N35 - Y1V ","mn","remain, be established","G16v (verb  intransitive)"
"L","E","S29( 0, 30) - D58( 285, 15) - N14( 795, 135) - G1( 1305, 15) - A24( 2130, 0) ","S29 - D58 - N14 - G1 - A24 ","sbA","teach, r concerning","G16v (verb and noun)"
"L","E","N29( 0, 195) - G1( 375, 0) - D36( 1200, 180) - A2( 2130, 0) ","N29 - G1 - D36 - A2 ","qAa","spew out","G16v (verb)"
"L","E","S29( 0, 0) - I9( 330, 15) - N5( 375, 270) ","S29 - I9 - N5 ","sf","yesterday","G17v"
"L","E","K4( 0, 180) - G1( 930, 0) - D21( 1710, 15) - X1( 1935, 510) - D3( 2655, 195) - B1( 3615, 15) ","K4 - G1 - D21 - X1 - D3 - B1 ","XArt","widow","G17v"
"L","E","D36( 0, 0) - V4( 0, 345) - G1( 945, 135) - A24( 1755, 165) ","D36 - V4 - G1 - A24 ","awAi","steal, rob","G17v"
